Year,Month,Day,Hour,Minute,Temperature
2018,12,31,00,00,18.36
2018,12,31,01,00,18.20
2018,12,31,02,00,18.12
2018,12,31,03,00,18.12
2018,12,31,04,00,18.07
2018,12,31,05,00,17.99
2018,12,31,06,00,18.90
2018,12,31,07,00,18.92
2018,12,31,08,00,19.25
2018,12,31,09,00,19.71
2018,12,31,10,00,20.05
2018,12,31,11,00,20.57
2018,12,31,12,00,21.58
2018,12,31,13,00,22.23
2018,12,31,14,00,22.70
2018,12,31,15,00,21.10
2018,12,31,16,00,20.62
2018,12,31,17,00,20.63
2018,12,31,18,00,20.54
2018,12,31,19,00,20.36
2018,12,31,20,00,20.32
2018,12,31,21,00,20.31
2018,12,31,22,00,20.34
2018,12,31,23,00,20.40
2019,01,01,00,00,20.40
2019,01,01,01,00,20.36
2019,01,01,02,00,20.34
2019,01,01,03,00,20.35
2019,01,01,04,00,20.33
2019,01,01,05,00,20.29
2019,01,01,06,00,20.53
2019,01,01,07,00,20.54
2019,01,01,08,00,20.91
2019,01,01,09,00,21.15
2019,01,01,10,00,21.59
2019,01,01,11,00,21.91
2019,01,01,12,00,22.06
2019,01,01,13,00,22.15
2019,01,01,14,00,22.10
2019,01,01,15,00,21.76
2019,01,01,16,00,21.19
2019,01,01,17,00,20.56
2019,01,01,18,00,20.22
2019,01,01,19,00,19.76
2019,01,01,20,00,19.38
2019,01,01,21,00,19.03
2019,01,01,22,00,18.82
2019,01,01,23,00,18.67
2019,01,02,00,00,18.54
2019,01,02,01,00,18.44
2019,01,02,02,00,18.35
2019,01,02,03,00,18.26
2019,01,02,04,00,18.18
2019,01,02,05,00,18.11
2019,01,02,06,00,15.16
2019,01,02,07,00,15.12
2019,01,02,08,00,15.63
2019,01,02,09,00,16.43
2019,01,02,10,00,17.51
2019,01,02,11,00,17.99
2019,01,02,12,00,18.68
2019,01,02,13,00,19.14
2019,01,02,14,00,19.31
2019,01,02,15,00,19.50
2019,01,02,16,00,19.34
2019,01,02,17,00,18.96
2019,01,02,18,00,18.85
2019,01,02,19,00,18.67
2019,01,02,20,00,18.46
2019,01,02,21,00,18.16
2019,01,02,22,00,17.88
2019,01,02,23,00,17.62
2019,01,03,00,00,17.40
2019,01,03,01,00,17.19
2019,01,03,02,00,16.92
2019,01,03,03,00,16.59
2019,01,03,04,00,16.18
2019,01,03,05,00,15.61
2019,01,03,06,00,16.77
2019,01,03,07,00,16.56
2019,01,03,08,00,16.44
2019,01,03,09,00,16.38
2019,01,03,10,00,16.28
2019,01,03,11,00,16.35
2019,01,03,12,00,16.47
2019,01,03,13,00,16.84
2019,01,03,14,00,17.26
2019,01,03,15,00,17.28
2019,01,03,16,00,17.24
2019,01,03,17,00,17.02
2019,01,03,18,00,17.17
2019,01,03,19,00,17.53
2019,01,03,20,00,18.11
2019,01,03,21,00,18.75
2019,01,03,22,00,19.31
2019,01,03,23,00,19.76
2019,01,04,00,00,19.92
2019,01,04,01,00,19.72
2019,01,04,02,00,19.65
2019,01,04,03,00,19.68
2019,01,04,04,00,19.33
2019,01,04,05,00,18.17
2019,01,04,06,00,17.60
2019,01,04,07,00,15.74
2019,01,04,08,00,14.43
2019,01,04,09,00,13.77
2019,01,04,10,00,13.54
2019,01,04,11,00,13.78
2019,01,04,12,00,13.95
2019,01,04,13,00,13.39
2019,01,04,14,00,12.93
2019,01,04,15,00,12.25
2019,01,04,16,00,11.51
2019,01,04,17,00,10.18
2019,01,04,18,00,9.43
2019,01,04,19,00,8.80
2019,01,04,20,00,8.36
2019,01,04,21,00,7.86
2019,01,04,22,00,8.02
2019,01,04,23,00,7.60
2019,01,05,00,00,7.10
2019,01,05,01,00,6.76
2019,01,05,02,00,6.54
2019,01,05,03,00,6.37
2019,01,05,04,00,6.24
2019,01,05,05,00,6.14
2019,01,05,06,00,5.49
2019,01,05,07,00,5.48
2019,01,05,08,00,6.37
2019,01,05,09,00,7.85
2019,01,05,10,00,9.58
2019,01,05,11,00,11.48
2019,01,05,12,00,13.09
2019,01,05,13,00,14.51
2019,01,05,14,00,15.27
2019,01,05,15,00,15.45
2019,01,05,16,00,15.03
2019,01,05,17,00,13.87
2019,01,05,18,00,12.97
2019,01,05,19,00,12.24
2019,01,05,20,00,11.62
2019,01,05,21,00,10.99
2019,01,05,22,00,10.41
2019,01,05,23,00,9.89
2019,01,06,00,00,9.38
2019,01,06,01,00,8.90
2019,01,06,02,00,8.43
2019,01,06,03,00,7.96
2019,01,06,04,00,7.68
2019,01,06,05,00,7.39
2019,01,06,06,00,6.34
2019,01,06,07,00,6.08
2019,01,06,08,00,7.61
2019,01,06,09,00,11.58
2019,01,06,10,00,14.19
2019,01,06,11,00,16.16
2019,01,06,12,00,17.58
2019,01,06,13,00,18.61
2019,01,06,14,00,19.15
2019,01,06,15,00,19.28
2019,01,06,16,00,18.81
2019,01,06,17,00,17.71
2019,01,06,18,00,16.80
2019,01,06,19,00,15.16
2019,01,06,20,00,14.30
2019,01,06,21,00,13.61
2019,01,06,22,00,13.05
2019,01,06,23,00,12.50
2019,01,07,00,00,11.88
2019,01,07,01,00,11.15
2019,01,07,02,00,10.45
2019,01,07,03,00,9.83
2019,01,07,04,00,9.40
2019,01,07,05,00,8.83
2019,01,07,06,00,8.29
2019,01,07,07,00,7.78
2019,01,07,08,00,9.29
2019,01,07,09,00,13.63
2019,01,07,10,00,16.40
2019,01,07,11,00,18.28
2019,01,07,12,00,19.50
2019,01,07,13,00,20.30
2019,01,07,14,00,20.64
2019,01,07,15,00,20.53
2019,01,07,16,00,19.80
2019,01,07,17,00,18.43
2019,01,07,18,00,17.67
2019,01,07,19,00,16.51
2019,01,07,20,00,15.65
2019,01,07,21,00,14.95
2019,01,07,22,00,14.44
2019,01,07,23,00,14.04
